,z3-base,z3-base,z3-base,z3-base,z3-base,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later
,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment
AProVE/aproveSMT8668890866291703492.smt2,1615,42684,unsat,103.0,804.0,1633,43464,unsat,103.0,804.0,,0,1602,42688,unsat,103.0,804.0,,0
AProVE/aproveSMT2926330432023427683.smt2,507,43444,sat,12.0,58.0,455,42684,sat,12.0,58.0,,0,454,42688,sat,12.0,58.0,,0
AProVE/aproveSMT3966598164126103377.smt2,419,43956,unsat,,1.0,450,42684,unsat,,1.0,,0,413,42680,unsat,,1.0,,0
AProVE/aproveSMT8213728202959413718.smt2,2531,43472,sat,72.0,476.0,2719,42664,sat,72.0,476.0,,0,2892,42684,sat,72.0,476.0,,0
AProVE/aproveSMT1652619482144589486.smt2,470,41912,sat,6.0,25.0,492,42680,sat,6.0,25.0,,0,414,44916,sat,6.0,25.0,,0
AProVE/aproveSMT7477747760314814945.smt2,485,42676,sat,,,551,43468,sat,,,,0,411,42688,sat,,,,0
AProVE/aproveSMT2177247277262436215.smt2,398,43480,sat,1.0,1.0,371,43456,sat,1.0,1.0,,0,382,42676,sat,1.0,1.0,,0
AProVE/aproveSMT2075489539010646787.smt2,17765,81556,sat,700.0,2362.0,32031,141808,sat,152.0,955.0,30.0,0,19611,81580,sat,700.0,2362.0,,0
AProVE/aproveSMT5286425779492692560.smt2,593,44252,unsat,48.0,75.0,468,43440,unsat,48.0,75.0,,0,561,42668,unsat,48.0,75.0,,0
AProVE/aproveSMT3768846574827719087.smt2,940,43448,unsat,127.0,817.0,969,42676,unsat,127.0,817.0,,0,1067,42692,unsat,127.0,817.0,,0
AProVE/aproveSMT5995593738700246954.smt2,430,42688,sat,,,351,42688,sat,,,,0,451,42692,sat,,,,0
AProVE/aproveSMT82980353335522103.smt2,1096,44716,sat,3.0,523.0,1225,43108,sat,4.0,522.0,3.0,0,1181,43448,sat,3.0,523.0,,0
AProVE/aproveSMT9087246936100892669.smt2,888,43444,unsat,53.0,172.0,1103,42712,unsat,53.0,172.0,,0,1047,42692,unsat,53.0,172.0,,0
AProVE/aproveSMT8443262730080464090.smt2,63022,3840,timeout,,,63029,3072,timeout,,,,0,63027,3840,timeout,,,,0
AProVE/aproveSMT7141448459206242894.smt2,2473,42688,unsat,267.0,1092.0,2444,42712,unsat,254.0,1035.0,,0,2315,43452,unsat,254.0,1035.0,,0
AProVE/aproveSMT7508039888586354633.smt2,364,42680,sat,,,367,42668,sat,,,,0,358,41908,sat,,,,0
AProVE/aproveSMT8553141752939913507.smt2,718,43472,sat,16.0,60.0,704,44784,sat,16.0,60.0,,0,689,42708,sat,16.0,60.0,,0
AProVE/aproveSMT2096995205177976112.smt2,998,42684,unsat,378.0,849.0,1494,42684,unsat,717.0,1338.0,1.0,0,1082,43448,unsat,378.0,849.0,,0
AProVE/aproveSMT6614712878547252644.smt2,5448,42664,sat,182.0,1129.0,8290,45072,sat,243.0,1559.0,20.0,0,6189,43576,sat,240.0,1228.0,,0
AProVE/aproveSMT6476005426670933169.smt2,638,42692,sat,37.0,202.0,569,41908,sat,37.0,202.0,,0,685,43456,sat,37.0,202.0,,0
AProVE/aproveSMT5270191491307973489.smt2,1859,59764,sat,12.0,715.0,1671,60172,sat,12.0,728.0,9.0,0,1450,59592,sat,12.0,715.0,,0
AProVE/aproveSMT4007983202661989900.smt2,444,43480,sat,1.0,9.0,413,42688,sat,1.0,9.0,,0,436,41900,sat,1.0,9.0,,0
AProVE/aproveSMT9189208272251915043.smt2,367,43468,sat,4.0,50.0,485,42700,sat,4.0,50.0,,0,410,42692,sat,4.0,50.0,,0
AProVE/aproveSMT2642294598444150593.smt2,63024,3840,timeout,,,63027,3840,timeout,,,,0,63027,3840,timeout,,,,0
AProVE/aproveSMT7094626937743907625.smt2,352,42684,sat,,,444,42684,sat,,,,0,424,43448,sat,,,,0
AProVE/aproveSMT3497219735411737375.smt2,63026,3072,timeout,,,63021,3072,timeout,,,,0,63027,3072,timeout,,,,0
AProVE/aproveSMT521120005906473991.smt2,543,43488,sat,15.0,81.0,520,43460,sat,15.0,81.0,,0,502,41916,sat,15.0,81.0,,0
AProVE/aproveSMT4877486825752510154.smt2,440,42672,sat,3.0,39.0,446,43468,sat,3.0,39.0,,0,499,41932,sat,3.0,39.0,,0
AProVE/aproveSMT6571358103514236701.smt2,949,42680,unsat,54.0,152.0,740,43468,unsat,54.0,152.0,,0,714,41912,unsat,54.0,152.0,,0
AProVE/aproveSMT5746633016225644512.smt2,489,43444,sat,1.0,2.0,380,42684,sat,1.0,2.0,,0,445,44144,sat,1.0,2.0,,0
AProVE/aproveSMT7648521531974238875.smt2,409,43464,sat,,,477,42708,sat,,,,0,454,41908,sat,,,,0
AProVE/aproveSMT8800023028084969026.smt2,441,42676,sat,,,408,42688,sat,,,,0,417,43480,sat,,,,0
AProVE/aproveSMT761672057715945401.smt2,438,42676,sat,7.0,30.0,476,41928,sat,7.0,30.0,,0,488,41904,sat,7.0,30.0,,0
AProVE/aproveSMT4533164393640558228.smt2,380,42680,sat,1.0,3.0,430,42684,sat,1.0,3.0,,0,429,43452,sat,1.0,3.0,,0
AProVE/aproveSMT1794145880067403233.smt2,6821,46900,unsat,280.0,1923.0,38769,50740,unsat,5186.0,7789.0,30.0,0,7960,52084,unsat,341.0,2078.0,,0
AProVE/aproveSMT3002866307115634126.smt2,453,44720,sat,,1.0,450,41896,sat,,1.0,,0,431,43472,sat,,1.0,,0
AProVE/aproveSMT2823330739012003599.smt2,463,43476,sat,1.0,4.0,422,43468,sat,1.0,4.0,,0,443,41920,sat,1.0,4.0,,0
AProVE/aproveSMT8508506058820426577.smt2,443,43460,sat,,,443,41904,sat,,,,0,480,43456,sat,,,,0
AProVE/aproveSMT2031186289822687362.smt2,7307,56272,sat,44.0,1055.0,7016,59344,sat,44.0,1055.0,,0,7232,58576,sat,44.0,1055.0,,0
AProVE/aproveSMT641050133359579606.smt2,363,43440,unsat,7.0,42.0,442,43468,unsat,7.0,42.0,,0,432,43456,unsat,7.0,42.0,,0
AProVE/aproveSMT3756465960182835133.smt2,421,42700,sat,1.0,3.0,434,41924,sat,1.0,3.0,,0,454,42688,sat,1.0,3.0,,0
AProVE/aproveSMT8576878341171918746.smt2,485,42680,sat,1.0,2.0,591,42708,sat,1.0,2.0,,0,465,42680,sat,1.0,2.0,,0
AProVE/aproveSMT2189051876526621929.smt2,381,41916,sat,1.0,4.0,471,42696,sat,1.0,4.0,,0,500,41904,sat,1.0,4.0,,0
AProVE/aproveSMT4558782002403801951.smt2,503,44736,sat,5.0,17.0,499,42700,sat,5.0,17.0,,0,446,42696,sat,5.0,17.0,,0
AProVE/aproveSMT1985461538337735884.smt2,426,42680,sat,,,367,43464,sat,,,,0,429,43448,sat,,,,0
AProVE/aproveSMT4217905332346793587.smt2,2794,47980,sat,117.0,487.0,2722,47976,sat,108.0,440.0,15.0,0,3186,47976,sat,117.0,487.0,,0
AProVE/aproveSMT8358349463342917569.smt2,498,42688,sat,1.0,7.0,496,42696,sat,1.0,7.0,,0,453,42696,sat,1.0,7.0,,0
AProVE/aproveSMT7766128305222071889.smt2,366,44732,unsat,,,479,43472,unsat,,,,0,446,41908,unsat,,,,0
AProVE/aproveSMT7288797466626738838.smt2,63025,3840,timeout,,,63025,3072,timeout,,,,0,63020,3072,timeout,,,,0
AProVE/aproveSMT7608975121595496463.smt2,420,42676,sat,,,407,41912,sat,,,,0,455,42696,sat,,,,0
